machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_quartz_Ruby
quartz,kripke.exe,1,5111111.111,35916666.67,7694444.444,74472222.22,861111.1111,1027777.778,27777.77778,27777.77778,9.680555556,19174145.72,13323028.07,525.0555556,30141.90278,5861111.111,0.666
quartz,kripke.exe,1,9555555.556,58972222.22,13305555.56,130083333.3,1111111.111,1611111.111,55555.55556,27777.77778,4.305555556,29436712.22,13251835.6,525.0555556,30141.90278,5638888.889,1
quartz,kripke.exe,1,16000000,91500000,21194444.44,208722222.2,1250000,2444444.444,55555.55556,27777.77778,13.41666667,43756444.24,13285598.47,525.0555556,30141.91667,6166666.667,0.750750751
quartz,kripke.exe,1,24277777.78,133305555.6,31333333.33,309638888.9,1666666.667,3527777.778,83333.33333,27777.77778,3.847222222,62203809.68,13375100.53,525.0555556,30141.90278,6388888.889,1
quartz,kripke.exe,1,5250000,47055555.56,9055555.556,88222222.22,1722222.222,1333333.333,83333.33333,55555.55556,21.18055556,26585128.22,26766810.6,525.0555556,30141.91667,11888888.89,0.666
quartz,kripke.exe,1,13583333.33,85666666.67,17166666.67,179333333.3,1750000,2138888.889,83333.33333,55555.55556,13.33333333,40702451.38,26724090.72,525.0555556,30141.90278,11861111.11,0.600240096
quartz,kripke.exe,1,26972222.22,149416666.7,30666666.67,329638888.9,2222222.222,3416666.667,111111.1111,55555.55556,16.48611111,64141582.83,26628645.38,525.0555556,30141.91667,12305555.56,0.799519808
quartz,kripke.exe,1,46055555.56,239111111.1,49555555.56,541166666.7,2833333.333,5194444.444,138888.8889,55555.55556,4.319444444,97086100.24,26672454.13,525.0555556,30141.91667,12083333.33,0.555333333
quartz,kripke.exe,1,70611111.11,354388888.9,73888888.89,813083333.3,3333333.333,7555555.556,166666.6667,83333.33333,11.27777778,139338820.7,26663306.61,525.0555556,30141.91667,13138888.89,0.777333333
quartz,kripke.exe,1,1277777.778,10833333.33,2138888.889,20166666.67,416666.6667,305555.5556,0,0,12.20833333,6478693.278,6722623.153,525.0555556,30141.91667,2083333.333,0.498498498
quartz,kripke.exe,1,2166666.667,16277777.78,3638888.889,33527777.78,444444.4444,500000,0,0,13.47222222,9287385.375,6729215.083,525.0555556,30141.90278,2166666.667,1
quartz,kripke.exe,1,3888888.889,25666666.67,6166666.667,56694444.44,500000,777777.7778,0,0,9.25,14047894.49,6659738.306,525.0555556,30141.90278,2555555.556,1
quartz,kripke.exe,1,6250000,38750000,9722222.222,88888888.89,583333.3333,1166666.667,27777.77778,0,12.77777778,20695062.33,6704824.375,525.0555556,30141.90278,2555555.556,1
quartz,kripke.exe,1,9305555.556,55611111.11,14250000,130444444.4,583333.3333,1694444.444,27777.77778,0,23.75,29214884.46,6754834.958,525.0555556,30141.88889,3222222.222,0.666
