machine,app,"args",ranks,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
corona,minitri,"",1,0.0666,544000000.0,4085002791.0,1198201040.0,9652000000.0,358817884.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1661325900.0,2.217922,,,,1.7780780000000003
corona,minitri,"",1,0.0833,716000000.0,5343834470.0,1565399815.0,12614000000.0,474441974.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,2201950458.0,2.8886950000000002,,,,2.109305
corona-cpu,sw4lite,"/usr/WS1/dnicho/summer2022/repos/sw4lite/tests/cartesian/basic.in",1,3.1833,4054000000.0,453254848326.0,5127407555.0,1072638000000.0,2033474367.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295550.0,207718.0,151464115253.0,177.37843099999836,,,,13.619569000001633
corona-cpu,sw4lite,"/usr/WS1/dnicho/summer2022/repos/sw4lite/tests/cartesian/skinny.in",1,5.5,7062000000.0,793074624980.0,8964663918.0,1875304000000.0,4400047206.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295426.0,207722.0,264735193428.0,310.7862689999977,,,,19.213731000002326
corona-cpu,sw4lite,"/usr/WS1/dnicho/summer2022/repos/sw4lite/tests/cartesian/uni.in",1,4.7166,98172000000.0,599539438351.0,59569348243.0,1637814000000.0,2052552328.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295672.0,207668.0,269481352121.0,263.02765199999783,,,,19.968348000002152
corona-cpu,sw4lite,"/usr/WS1/dnicho/summer2022/repos/sw4lite/tests/cartesian/uni_rev.in",1,4.6666,98078000000.0,629682398318.0,59626245223.0,1581970000000.0,2137919033.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295674.0,207668.0,270652826961.0,265.4672349999978,,,,14.528765000002181
corona-cpu,sw4lite,"/usr/WS1/dnicho/summer2022/repos/sw4lite/tests/pointsource/pointsource.in",1,4.5,50118000000.0,631545164041.0,32199279986.0,1462130000000.0,2687686689.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,294320.0,207622.0,236508713805.0,247.97596099999782,,,,22.024039000002176
corona-cpu,sw4lite,"/usr/WS1/dnicho/summer2022/repos/sw4lite/tests/pointsource/ps2.in",1,107.35,262602000000.0,14345397872973.0,209069650020.0,34423544000000.0,64043090548.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,294310.0,207661.0,4989395332616.0,5754.920805000071,,,,686.0791949999293
corona-cpu,sw4lite,"/usr/WS1/dnicho/summer2022/repos/sw4lite/tests/topo/gaussianHill.in",1,104.1333,94704000000.0,15282651993285.0,219221974352.0,35333344000000.0,50283241593.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295236.0,208231.0,5067192236468.0,5896.095561000167,,,,351.90243899983307
lassen,comd,"",1,0.0333,1082239.6119997147,22.155763881362628,466184.6403731578,2948119.899028904,1.426609899556605,1621614.9997049954,931354.9287570828,68860.3133145436,-1.0,0.0,5333333.333333333,731120.0,372682.0,8524225.57778791,0.005015333333333333,,,,1.9929846666666668
lassen,comd,"",1,0.0333,240777.5990058457,15217.155779046278,25.51155918426552,57.763634583822615,0.9794660208451421,1044128.9637981113,970590.9606506568,458124.4746223528,-1.0,0.0,4666666.666666667,731120.0,372682.0,6988358.277335384,0.003336,,,,1.9946640000000002
lassen,comd,"",1,0.0333,267899.2813540807,0.4161347726749636,89.1665607605662,1807036.781471097,0.7794461090832386,1.6085010213885764,979838.4922454612,99702.18210238738,-1.0,0.0,3333333.333333333,731120.0,372682.0,3955019.5510114036,0.005002666666666666,,,,1.9929973333333335
lassen,comd,"",1,0.0333,490659.4312954163,2522012.824364238,2107226.791390622,15770863.09339786,0.9099114436363744,1.5374627017105893,566065.2469473841,265735.7664843604,-1.0,0.0,3333333.333333333,731148.0,372683.0,5466942.744532148,0.003336666666666667,,0.0,1.0333788029359112,1.9946633333333335
lassen,comd,"",1,0.0333,570426.873966604,1707675.8086479062,1990206.6520926952,14641361.90226088,0.6915533227137197,582392.3241824936,31177.085885560304,366335.72554677096,-1.0,0.0,4000000.0,731120.0,372683.0,4999129.3473296035,0.0050036666666666675,,,,1.9929963333333336
lassen,comd,"",1,0.05,486077.3316337304,23.35088979712689,971409.6226905279,3923653.8945342735,1.7245341371639906,4293093.225471406,636155.004338552,290513.1857419034,-1.0,0.0,4666666.666666667,731148.0,372683.0,6295085.765055877,0.003336,,0.3333333333333333,33710.0138556058,2.996664
lassen,comd,"",1,0.05,538768.7499381633,1.355554498047021,750623.9556683708,4941136.228717714,0.3333333333333333,1889428.3433374616,1545819.3556036344,388024.8900639947,-1.0,0.0,5333333.333333333,731120.0,372682.0,0.9175806211918562,0.0033350000000000003,,,,2.996665
lassen,cosmoflow,"",1,0.05,484887.1964811792,3.341574274838228,1111026.12512215,2532436.6313428315,1.4169169944543505,5664090.172455273,353076.94539028406,571488.4572928144,-1.0,0.0,4000000.0,731120.0,372682.0,,0.0016676666666666665,,,,2.9983323333333334
lassen,cosmoflow,"",1,0.05,572421.9216738085,1.1323459595758785,578412.116560965,2095666.7560132071,18.065933389358413,1.3735580296146264,1286940.679047804,20585.64825150757,-1.0,0.0,4000000.0,731138.6666666665,372681.0,,0.006669666666666668,,,,2.993330333333333
lassen,deepcam,"",1,0.0333,154445.89559623328,0.4075179115702807,677143.0165626268,9578.156667835225,26.940656120802583,3223745.466144836,1145874.3791113263,900808.3450593628,-1.0,0.0,4666666.666666667,731148.0,372682.0,2.8057298622364595,0.006670999999999999,,,,1.9913290000000001
lassen,deepcam,"",1,0.0333,385407.8795540375,5672140.843520433,576849.7886718932,2428805.3913699216,0.3333333333333333,423460.4896499626,2013480.7412167985,177965.99110678086,-1.0,0.0,4000000.0,731120.0,372682.0,8991220.36809008,0.0050336666666666655,,,,1.9929663333333336
lassen,deepcam,"",1,0.0333,444636.33659415634,6981.623213341855,486395.3374185084,0.4782739923896992,17.947095598694784,6234596.703053523,234546.12454192745,1059777.1339323935,-1.0,0.0,6000000.0,731148.0,372683.0,2.2775855187674447,0.005002333333333334,,,,1.992997666666667
