no,corona,quartz,lassen,ruby
280,560.7886,1440.0804,377.8016,556.047
281,1790.9554,3921.162,919.6848,4729.2583
282,1061.4149,2389.1632,572.4593,1018.8703
283,619.8828,1897.254,546.1579,727.879
284,963.5312,1279.6964,336.544,513.2163
285,867.7033,3354.7041,809.4248,1243.0236
286,1262.407,2129.2204,480.3017,904.9147
287,2042.4659,6839.4807,1786.1077,2748.2007
288,602.4979,1773.8721,423.9068,702.886
289,1471.8885,3949.7027,993.2468,1525.675
290,408.2527,1552.0312,513.5098,634.9527
291,1777.2126,2764.6408,613.4471,1172.4564
292,627.1649,1216.2032,2122.5561,451.6362
293,1410.1463,2516.8795,570.6027,1045.458
294,917.3992,2313.7851,501.1729,2755.8097
295,516.6802,2041.458,544.4155,799.5909
296,1330.4028,4768.0486,1216.2998,1816.9909
297,492.4237,1301.9161,297.2047,567.3174
298,308.0024,612.0236,145.2567,249.3208
299,1312.0497,3607.8172,936.9174,1436.8245
300,1489.724,2382.705,592.0216,872.9482
301,109.4111,145.4143,40.9605,59.0451
302,2034.2087,6472.9974,1532.1947,2650.6713
303,241.0568,965.332,258.4446,369.2507
304,932.8702,1969.6588,520.0245,755.621
305,423.4413,677.0347,180.7231,262.1373
306,1640.3865,2015.8464,457.7558,810.1458
307,486.8162,677.6088,187.8096,256.1818
308,1207.0329,2596.4913,698.7783,1004.0717
309,1970.6852,2972.8792,837.3605,1058.5432
310,2182.1443,8550.6318,1927.5214,10980.0997
311,1038.3958,1354.2202,376.1687,518.5638
312,379.4786,1499.5656,344.408,586.8884
313,138.1226,360.7991,87.3132,140.5136
314,1070.0611,1326.3742,375.3859,503.1509
315,475.6499,1291.6616,322.1936,520.4553
316,164.683,250.9925,52.7143,97.2967
317,724.16,2661.4384,687.2135,1081.5825
318,816.6528,1159.9065,346.4585,480.239
319,1363.9024,4745.6326,1200.7009,1779.3153
320,1394.7332,5522.7027,1341.3995,2113.0687
321,1457.132,2988.4084,751.5545,1258.5184
322,317.0507,775.7766,230.1152,303.636
323,1982.7621,7571.2695,1810.1865,2979.5603
324,2072.0973,5929.1173,1364.9972,2285.4315
325,75.876,123.1101,29.3666,48.4386
326,1623.8981,2673.2115,3594.0894,1062.7295
327,1672.5718,3016.9839,689.1853,1223.7495
328,774.8921,1263.6324,348.1042,530.7099
329,111.1973,390.1341,111.759,153.3436
330,585.2189,1236.7162,375.9328,1506.4316
331,1824.6575,2902.0262,740.9037,1209.2894
332,861.6458,3456.7581,821.7624,1374.8235
333,1161.2195,3117.3756,907.0792,1307.4208
334,1109.524,4657.3224,1177.1925,1786.125
335,924.3753,1239.2874,377.8774,505.7958
336,659.7671,1006.859,213.1031,390.9241
337,907.6188,1852.8992,466.0124,715.182
338,2040.4728,6540.1641,1923.3058,2696.0302
339,1727.2743,4092.6011,1101.2326,1697.3806
340,2011.4488,7471.8144,1860.6726,2982.18
341,2070.6681,5434.6118,1325.971,2126.616
342,999.72,4178.474,911.715,1599.1008
343,1128.1655,2931.8275,721.6122,1207.9579
344,1749.5251,6824.3966,1681.8604,8380.5497
345,1501.0475,3948.89,1087.4521,1615.6245
346,879.1985,1690.2768,475.5808,670.725
347,1245.4867,3115.3639,851.4734,1349.4555
348,1509.3283,4809.3633,1383.1413,2023.6339
349,1966.5313,2233.3846,616.606,857.0821
350,1933.4232,3395.3621,826.3239,1307.9555
351,1397.3279,4776.8668,1064.9294,1867.8097
352,1935.6019,5732.1265,1409.9139,2376.3486
353,1674.5789,5330.2957,1429.4121,2347.515
354,1706.9326,6173.2764,1549.2263,2453.7057
355,1573.9585,6088.2405,1495.5233,2446.344
356,378.4669,431.5307,105.3633,166.757
357,881.0268,1502.9755,365.4055,628.2678
358,2215.0949,3846.9197,878.4213,1426.0242
359,896.5666,1543.8715,348.5621,590.6971
360,243.7366,346.2466,82.0314,131.8162
361,2280.4958,4834.2381,1195.9276,2014.6364
362,1972.9671,2667.2084,622.8482,1037.6055
363,132.9269,287.768,78.2678,117.7424
364,203.1742,599.3493,167.8378,247.4302
365,1216.6501,2486.0787,653.9176,1050.8364
366,1565.5473,4813.5451,1328.6093,1818.1363
367,640.5775,1915.1919,484.9005,771.6498
368,2274.0399,3779.9698,988.272,1509.7218
369,491.9978,793.502,230.9503,300.4337
370,716.9287,2944.9268,649.3641,1179.6637
371,1528.3221,2599.8673,743.5553,1081.188
372,284.5646,1076.8535,314.4049,410.9643
373,1251.3687,3158.4469,764.6366,1266.7099
374,866.007,3340.4474,708.7826,1391.023
375,348.2089,937.9461,211.7019,393.6266
376,602.9197,2044.0242,547.1423,826.6446
377,1773.7703,6838.6771,1818.1895,2609.8727
378,1407.1132,1816.7888,448.2512,751.076
379,1550.6149,3502.4209,927.4583,1496.1657
380,1911.4949,3844.2916,979.7,1505.2319
381,802.1917,2756.3597,759.5278,1074.78
382,169.8374,224.997,64.1267,88.552
383,2006.5225,3049.7338,899.9432,1210.7359
384,2100.2242,5888.1214,1335.0887,2385.2735
385,4.7378,10.9139,2.6671,4.1051
386,693.2153,1343.6623,1839.008,527.0576
387,150.0247,523.1937,115.5152,227.115
388,512.6894,1836.953,453.7635,694.1465
389,2230.8715,7805.2268,2664.7305,3142.0791
390,2275.2152,3639.1731,1061.5369,1539.5977
391,2163.7928,6392.4401,1569.9354,2894.7999
392,1089.3867,2537.2343,578.8121,956.6994
393,1024.1024,3018.4109,704.0163,1252.0559
394,477.1179,793.6027,190.9147,296.3383
395,1565.4863,2485.9697,599.2279,963.7982
396,44.4064,140.7204,35.9761,57.6375
397,2114.3026,8875.4077,2435.5948,3615.469
398,1935.1303,7499.9087,2012.8199,9784.292
399,582.0303,1647.0344,363.0007,666.8604
400,567.3652,970.2712,285.5873,392.6654
401,644.7486,1376.8858,321.1957,556.1981
402,1853.5604,5376.5253,1608.0036,2235.8068
403,1505.1467,3175.4498,923.1291,1349.4753
404,1504.0332,3696.0299,897.5487,1436.2837
405,1200.3867,3885.1327,1049.5825,1602.0895
406,2138.3668,6343.0762,1741.4571,2434.9442
407,1792.1949,2019.0789,3177.4748,754.055
408,1813.0225,4190.1015,962.7669,1708.3564
409,2052.7975,5940.456,1401.2345,2388.6733
410,469.4899,1420.289,1889.6919,560.8361
411,2126.5759,5065.1128,1069.4226,5930.4253
412,1913.5964,7442.1137,2432.7636,3033.9178
413,50.6246,183.043,50.5861,69.6034
414,1183.5769,3797.0895,961.119,4691.7443
415,248.1019,470.6334,141.2978,193.4535
416,989.8416,1711.2107,429.5725,666.3281
417,2136.8675,5557.2351,1391.1146,2227.9306
418,1218.5039,4794.44,1156.6267,2005.2655
419,920.0091,2303.0829,544.5578,911.0613
420,1707.0187,5593.0285,1600.9652,2263.3854
421,224.7459,477.3911,108.1817,187.5244
422,2054.3961,7102.5795,1677.5705,2846.9998
423,1115.4689,2931.1552,681.4565,1107.9711
424,1760.201,3637.0707,1115.995,1525.9886
425,874.8904,1539.8303,427.3348,615.7273
426,126.7547,453.8045,120.2155,167.0236
427,1783.6978,6949.4535,1701.5364,2666.4178
428,2085.4622,6897.927,1872.2718,2870.1403
429,2045.3091,3197.4655,831.7491,1252.5222
430,1537.1128,3033.7888,704.0588,3734.4773
431,1938.3641,2932.5927,737.1696,1201.9583
432,1632.1235,6766.9532,1401.079,2787.9365
433,2254.0445,6191.6662,1541.8462,2548.7599
434,297.7332,739.6178,175.1676,297.4785
435,791.3262,1217.0231,284.9771,530.8849
436,141.6996,412.3249,86.835,163.0068
437,742.2663,1088.3596,309.5707,415.9826
