machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
corona,miniVite,1,,3621,3,4000000,45291,-1,-1,-1,-1,-1,-1,293744,206609,1671,1.501501502
corona,miniVite,1,2000000,9045,2,6000000,43565,-1,-1,-1,-1,-1,-1,293744,206608,8,1
corona,miniVite,1,,1,1,2000000,31691,-1,-1,-1,-1,-1,-1,293744,206604,3,3.003003003
corona,miniVite,1,2000000,8896,2,14000000,53580,-1,-1,-1,-1,-1,-1,293744,206610,5,1
corona,miniVite,1,,3,2,2000000,43682,-1,-1,-1,-1,-1,-1,293744,206606,101829,6.024096386
corona,miniVite,1,,3,2,4000000,49967,-1,-1,-1,-1,-1,-1,293744,206606,,1
corona,miniVite,1,,238302,14,4000000,110578,-1,-1,-1,-1,-1,-1,293744,206608,,1.501501502
corona,miniVite,1,,3,2,2000000,34807,-1,-1,-1,-1,-1,-1,293744,206605,,3.501501502
corona,miniVite,1,4000000,77,13,18000000,173405,-1,-1,-1,-1,-1,-1,293744,206611,179309,0.666
corona,miniVite,1,,3,,2000000,28106,-1,-1,-1,-1,-1,-1,293744,206607,3,2.006024096
corona,miniVite,1,,88,1,4000000,14270,-1,-1,-1,-1,-1,-1,293744,206607,2,7.024096386
corona,miniVite,1,,8008,2,4000000,69725,-1,-1,-1,-1,-1,-1,293744,206607,117241,1
corona,miniVite,1,,3,2,2000000,55151,-1,-1,-1,-1,-1,-1,293744,206605,4,3.501501502
corona,miniVite,1,2000000,3801,14,12000000,28044,-1,-1,-1,-1,-1,-1,293744,206610,17,1
corona,miniVite,1,,3,1,2000000,40122,-1,-1,-1,-1,-1,-1,293744,206606,4,3.012048193
corona,miniVite,1,,87,7,4000000,16539,-1,-1,-1,-1,-1,-1,293744,206607,19,2.501501502
corona,miniVite,1,,9142,2,6000000,64315,-1,-1,-1,-1,-1,-1,293744,206609,,2.006024096
corona,miniVite,1,,2,1,2000000,12872,-1,-1,-1,-1,-1,-1,293744,206605,,2.006024096
corona,miniVite,1,2000000,8565,3,16000000,50562,-1,-1,-1,-1,-1,-1,293744,206609,4,7.024096386
corona,miniVite,1,,1,2,2000000,62263,-1,-1,-1,-1,-1,-1,293744,206605,3,1
corona,miniVite,1,,3,2,4000000,42878,-1,-1,-1,-1,-1,-1,293744,206606,3,7.024096386
corona,miniVite,1,,8656,2,4000000,53615,-1,-1,-1,-1,-1,-1,293744,206609,195396,2.006024096
